cluster,minLat,maxLat,minLng,maxLng
1252,11.491,11.7891,107.069,107.137
1253,20.8681,21.0247,73.6623,73.783
1254,41.7532,42.0489,45.3243,45.5916
1255,29.6633,29.6633,115.253,115.253
1256,37.0417,37.4167,109.532,109.831
1257,7.05922,7.05922,-70.7849,-70.7849
1258,15.0975,15.2291,43.5712,44.008
1259,41.0922,41.0922,-101.738,-101.738
1260,38.0545,38.2606,23.4176,23.7749
1261,35.1555,35.4621,136.218,137.194
1262,56.0839,56.0839,98.4303,98.4303
1263,-36.9518,-36.9518,174.757,174.757
1264,39.591,39.6197,2.68538,2.93621
1265,15.3651,15.8519,-89.74,-89.2869
1266,48.2057,48.2057,101.339,101.339
1267,-31.2427,-31.2427,27.7078,27.7078
1268,47.6469,47.8042,25.949,26.178
1269,7.56526,7.56526,-69.3067,-69.3067
1270,40.0017,40.1393,35.0527,35.1337
1271,59.6028,59.6028,-135.3,-135.3
1272,46.3429,46.3429,89.0049,89.0049
1273,37.2114,37.2114,-80.6862,-80.6862
1274,62.2333,62.2333,-156.216,-156.216
1275,41.7391,41.8628,25.4251,25.622
1276,44.3828,44.866,28.3778,28.815
1277,50.9544,50.9544,13.2498,13.2498
1278,40.974,40.974,122.641,122.641
1279,24.4607,24.4607,116.272,116.272
1280,47.0178,47.2608,23.331,23.6741
1281,37.2656,37.2656,72.0219,72.0219
1282,26.7781,26.7781,112.817,112.817
1283,30.1135,30.5622,78.5235,78.9384
1284,21.818,21.818,-100.932,-100.932
1285,-32.8972,-32.8972,27.7123,27.7123
1286,25.5714,25.5714,99.4409,99.4409
1287,39.7325,39.7325,75.4151,75.4151
1288,35.8591,35.8591,7.15889,7.15889
1289,22.4187,22.4187,95.7534,95.7534
1290,-35.8628,-35.8586,-72.1311,-71.9498
1291,8.09142,8.09142,-11.677,-11.677
1292,14.2785,14.2785,-91.1326,-91.1326
1293,21.3961,21.7477,73.0739,73.4733
1294,42.8283,43.0645,10.4002,10.7366
1295,15.1966,15.5457,49.7849,50.0785
1296,-44.9509,-44.9509,168.593,168.593
1297,-3.08984,-3.08984,38.8525,38.8525
1298,20.7441,20.7441,-88.0764,-88.0764
1299,42.2012,42.245,26.5477,26.6294
1300,26.7222,26.7222,-99.2878,-99.2878
1301,41.5767,41.5767,22.2186,22.2186
1302,11.8739,12.1226,75.4747,75.527
1303,-31.072,-31.072,-60.1011,-60.1011
1304,-31.6196,-31.6196,-57.9616,-57.9616
1305,60.3357,60.3357,-150.891,-150.891
1306,-1.41562,-1.41562,40.0925,40.0925
1307,24.2694,24.2694,113.385,113.385
1308,7.91776,7.91776,-74.2005,-74.2005
1309,-10.9711,-10.9711,-74.6846,-74.6846
1310,53.0005,53.0005,-6.11673,-6.11673
1311,44.8277,45.105,-63.9857,-63.8299
1312,3.01659,3.01659,18.4694,18.4694
1313,-43.6673,-43.4538,172.613,172.869
1314,2.9614,3.11309,97.4355,97.5139
1315,59.9306,59.9306,-151.454,-151.454
1316,1.86645,2.87071,102.61,103.368
1317,40.1572,40.1572,22.3897,22.3897
1318,-23.0153,-22.4155,-44.3263,-44.0032
1319,38.6065,38.9788,-122.829,-122.284
1320,0.733498,0.977528,100.517,100.565
1321,0.385821,0.498246,35.9643,36.1168
1322,-33.7569,-33.3966,19.9104,20.1148
1323,2.59221,2.59221,101.909,101.909
1324,40.2055,40.2055,-124.001,-124.001
1325,-19.5723,-19.5723,169.432,169.432
1326,31.8332,31.8332,-92.6206,-92.6206
1327,49.2074,49.2074,5.62514,5.62514
1328,-14.7661,-14.5323,38.8205,38.8747
1329,41.7575,42.0601,21.1907,21.6243
1330,-16.4711,-16.4518,179.528,179.651
1331,-2.42875,-2.42875,113.005,113.005
1332,37.282,37.282,67.1814,67.1814
1333,35.9368,36.9531,9.22676,10.1861
1334,-29.4558,-29.4558,-60.9786,-60.9786
1335,-20.14,-19.7931,-44.1,-43.823
1336,-20.9917,-20.9917,46.8211,46.8211
1337,57.049,57.049,-2.49865,-2.49865
1338,-17.9301,-17.9301,139.397,139.397
1339,-13.3744,-13.3744,-70.4323,-70.4323
1340,41.3473,41.3473,15.9205,15.9205
1341,-17.2994,-17.2994,145.86,145.86
1342,-0.112857,-0.112857,102.452,102.452
1343,-22.4964,-22.4964,118.212,118.212
1344,-3.46055,-3.46055,102.64,102.64
1345,-12.9125,-12.9125,39.834,39.834
1346,1.31139,1.31139,110.416,110.416
1347,-23.7719,-23.7719,150.373,150.373
1348,-14.3453,-14.3453,28.5651,28.5651
1349,34.3071,34.3071,-119.012,-119.012
1350,-22.2781,-22.2781,146.722,146.722
1351,48.983,48.983,-56.033,-56.033
1352,-12.1764,-12.1764,21.7005,21.7005
1353,-10.4392,-10.4392,18.0146,18.0146
1354,-18.2289,-18.2289,127.857,127.857
1355,-32.59,-32.4204,149.599,149.7
1356,34.4037,34.4037,73.7749,73.7749
1357,31.4633,31.4633,-90.0652,-90.0652
1358,37.679,37.679,-80.6513,-80.6513
1359,43.3022,43.3022,-1.16593,-1.16593
1360,-16.6606,-16.3458,31.1595,31.244
1361,-29.2128,-29.2128,138.398,138.398
1362,-17.9705,-17.9451,124.223,124.624
1363,39.6089,40.1067,21.0056,22.5392
1364,41.4282,41.591,26.4187,26.7148
1365,38.0893,38.1568,27.9838,28.312
1366,-21.3783,-21.3783,32.6645,32.6645
1367,41.6486,42.1165,-1.03538,-0.64878
1368,-14.0855,-14.0855,133.126,133.126
1369,-16.0918,-15.94,27.69,27.7672
1370,47.7159,47.7159,-104.729,-104.729
1371,7.90993,7.90993,-72.4921,-72.4921
1372,36.7476,36.7476,67.3621,67.3621
1373,48.241,48.241,33.3194,33.3194
1374,-34.945,-34.945,173.329,173.329
1375,44.3837,44.3837,133.058,133.058
1376,6.34483,6.34483,125.58,125.58
1377,-3.09396,-3.09396,119.784,119.784
1378,52.5773,52.5773,25.203,25.203
1379,31.5119,31.5119,51.6194,51.6194
1380,49.2409,49.2409,42.8994,42.8994
1381,35.1172,35.1172,61.7439,61.7439
1382,32.3342,32.3342,-88.6506,-88.6506
1383,40.7764,41.2757,46.653,47.1927
1384,18.2528,18.2528,-65.8269,-65.8269
1385,55.4536,55.4536,64.7393,64.7393
1386,52.5531,52.5531,35.7082,35.7082
1387,23.361,23.361,58.5899,58.5899
1388,33.069,33.7082,64.7671,65.0691
1389,-31.5791,-31.5791,-60.4971,-60.4971
1390,-12.3152,-12.3152,43.741,43.741
1391,-42.0045,-41.4063,146.752,147.481
1392,63.5313,63.5313,42.3946,42.3946
1393,5.37112,5.37112,44.6354,44.6354
1394,-4.40215,-4.40215,143.696,143.696
1395,38.2891,38.3887,-83.165,-83.023
1396,35.2142,35.2142,-85.4845,-85.4845
1397,-19.1732,-19.1732,48.7801,48.7801
1398,26.5695,26.5695,114.939,114.939
1399,-14.3155,-14.3155,-170.682,-170.682
1400,62.8787,62.8787,128.13,128.13
1401,8.3491,8.3491,-71.4704,-71.4704
1402,53.3172,53.3172,90.8345,90.8345
1403,18.8378,18.8378,-97.089,-97.089
1404,30.9182,30.9182,110.741,110.741
1405,12.4118,12.6343,9.72517,10.4374
1406,39.4652,39.4723,67.7915,68.1036
1407,26.1706,26.1706,90.8538,90.8538
1408,1.61614,1.61614,-75.5816,-75.5816
1409,6.21566,6.21566,-75.5748,-75.5748
1410,38.3574,38.3574,-82.3633,-82.3633
1411,12.9158,12.9158,74.9274,74.9274
1412,27.2672,27.2672,-81.8936,-81.8936
1413,28.5839,28.831,118.401,118.554
1414,40.7146,40.7146,-97.0958,-97.0958
1415,-41.4857,-41.3731,172.993,173.188
1416,32.5166,32.6055,115.718,115.76
1417,-34.6637,-34.433,-56.0038,-55.6697
1418,39.7887,39.7887,-85.9761,-85.9761
1419,18.9389,18.9389,-99.1635,-99.1635
1420,43.1637,43.1637,92.8839,92.8839
1421,57.8205,57.8205,79.3162,79.3162
1422,28.7319,28.7319,72.2101,72.2101
1423,33.492,33.492,69.5093,69.5093
1424,18.1132,18.1132,-96.7656,-96.7656
1425,10.9021,11.2164,40.7733,41.0562
1426,41.0649,41.0649,-80.9253,-80.9253
